20230619.dat
         5.00
11
0
Type of measurement (0=app. resistivity,1=resistance)
1
3408
 2
0
4  10.00  0.00 15.00  0.00 20.00  0.00 25.00  0.00 -13.68231 
4  10.00  0.00 15.00  0.00 25.00  0.00 30.00  0.00 -1.09697 
4  10.00  0.00 15.00  0.00 30.00  0.00 35.00  0.00 -0.13350 
4  10.00  0.00 15.00  0.00 35.00  0.00 40.00  0.00 -0.07565 
4  10.00  0.00 15.00  0.00 40.00  0.00 45.00  0.00 -0.02914 
4  10.00  0.00 15.00  0.00 45.00  0.00 50.00  0.00 -0.02256 
4  10.00  0.00 15.00  0.00 50.00  0.00 55.00  0.00 -0.01880 
4  10.00  0.00 20.00  0.00 40.00  0.00 50.00  0.00 -0.12289 
4  10.00  0.00 20.00  0.00 50.00  0.00 60.00  0.00 -0.07607 
4  10.00  0.00 20.00  0.00 60.00  0.00 70.00  0.00 -0.01948 
4  10.00  0.00 20.00  0.00 70.00  0.00 80.00  0.00 -0.01095 
4  10.00  0.00 20.00  0.00 80.00  0.00 45.00  0.00 0.16125 
4  10.00  0.00 20.00  0.00 45.00  0.00 55.00  0.00 -0.09857 
4  10.00  0.00 20.00  0.00 55.00  0.00 65.00  0.00 -0.03956 
4  10.00  0.00 20.00  0.00 65.00  0.00 75.00  0.00 -0.01826 
4  10.00  0.00 20.00  0.00 75.00  0.00 85.00  0.00 -0.00365 
4  10.00  0.00 25.00  0.00 60.00  0.00 75.00  0.00 -0.04776 
4  10.00  0.00 25.00  0.00 75.00  0.00 90.00  0.00 -0.00829 
4  10.00  0.00 25.00  0.00 90.00  0.00 105.00  0.00 -0.01343 
4  10.00  0.00 25.00  0.00 105.00  0.00 65.00  0.00 0.04303 
4  10.00  0.00 25.00  0.00 65.00  0.00 80.00  0.00 -0.03080 
4  10.00  0.00 25.00  0.00 80.00  0.00 95.00  0.00 -0.00513 
4  10.00  0.00 25.00  0.00 95.00  0.00 110.00  0.00 0.00039 
4  10.00  0.00 25.00  0.00 110.00  0.00 70.00  0.00 0.02567 
4  10.00  0.00 25.00  0.00 70.00  0.00 85.00  0.00 -0.01777 
4  10.00  0.00 25.00  0.00 85.00  0.00 100.00  0.00 -0.01106 
4  10.00  0.00 30.00  0.00 80.00  0.00 100.00  0.00 -0.04150 
4  10.00  0.00 30.00  0.00 100.00  0.00 120.00  0.00 -0.02648 
4  10.00  0.00 30.00  0.00 120.00  0.00 85.00  0.00 0.06264 
4  10.00  0.00 30.00  0.00 85.00  0.00 105.00  0.00 -0.04329 
4  10.00  0.00 30.00  0.00 105.00  0.00 125.00  0.00 -0.02541 
4  10.00  0.00 30.00  0.00 125.00  0.00 90.00  0.00 0.07049 
4  10.00  0.00 30.00  0.00 90.00  0.00 110.00  0.00 -0.05405 
4  10.00  0.00 30.00  0.00 110.00  0.00 130.00  0.00 -0.02076 
4  10.00  0.00 30.00  0.00 130.00  0.00 95.00  0.00 0.05153 
4  10.00  0.00 30.00  0.00 95.00  0.00 115.00  0.00 -0.03294 
4  10.00  0.00 30.00  0.00 115.00  0.00 135.00  0.00 -0.02398 
4  15.00  0.00 20.00  0.00 60.00  0.00 65.00  0.00 -0.00452 
4  15.00  0.00 20.00  0.00 25.00  0.00 30.00  0.00 -11.55218 
4  15.00  0.00 20.00  0.00 30.00  0.00 35.00  0.00 -0.38748 
4  15.00  0.00 20.00  0.00 35.00  0.00 40.00  0.00 -0.08912 
4  15.00  0.00 20.00  0.00 40.00  0.00 45.00  0.00 -0.03818 
4  15.00  0.00 20.00  0.00 45.00  0.00 50.00  0.00 -0.03342 
4  15.00  0.00 20.00  0.00 50.00  0.00 55.00  0.00 -0.02387 
4  15.00  0.00 20.00  0.00 55.00  0.00 60.00  0.00 -0.01592 
4  15.00  0.00 25.00  0.00 45.00  0.00 55.00  0.00 -0.15866 
4  15.00  0.00 25.00  0.00 55.00  0.00 65.00  0.00 -0.05915 
4  15.00  0.00 25.00  0.00 65.00  0.00 75.00  0.00 -0.01406 
4  15.00  0.00 25.00  0.00 75.00  0.00 85.00  0.00 -0.00761 
4  15.00  0.00 25.00  0.00 85.00  0.00 50.00  0.00 0.14113 
4  15.00  0.00 25.00  0.00 50.00  0.00 60.00  0.00 -0.09955 
4  15.00  0.00 25.00  0.00 60.00  0.00 70.00  0.00 -0.02988 
4  15.00  0.00 25.00  0.00 70.00  0.00 80.00  0.00 -0.00937 
4  15.00  0.00 25.00  0.00 80.00  0.00 90.00  0.00 -0.00234 
4  15.00  0.00 30.00  0.00 65.00  0.00 80.00  0.00 -0.06794 
4  15.00  0.00 30.00  0.00 80.00  0.00 95.00  0.00 -0.02905 
4  15.00  0.00 30.00  0.00 95.00  0.00 110.00  0.00 -0.04166 
4  15.00  0.00 30.00  0.00 110.00  0.00 70.00  0.00 0.10520 
4  15.00  0.00 30.00  0.00 70.00  0.00 85.00  0.00 -0.04055 
4  15.00  0.00 30.00  0.00 85.00  0.00 100.00  0.00 -0.03123 
4  15.00  0.00 30.00  0.00 100.00  0.00 115.00  0.00 -0.01973 
4  15.00  0.00 30.00  0.00 115.00  0.00 75.00  0.00 0.07399 
4  15.00  0.00 30.00  0.00 75.00  0.00 90.00  0.00 -0.02192 
4  15.00  0.00 30.00  0.00 90.00  0.00 105.00  0.00 -0.03893 
4  15.00  0.00 35.00  0.00 85.00  0.00 105.00  0.00 -0.06301 
4  15.00  0.00 35.00  0.00 105.00  0.00 125.00  0.00 -0.03912 
4  15.00  0.00 35.00  0.00 125.00  0.00 90.00  0.00 0.10325 
4  15.00  0.00 35.00  0.00 90.00  0.00 110.00  0.00 -0.06519 
4  15.00  0.00 35.00  0.00 110.00  0.00 130.00  0.00 -0.05324 
4  15.00  0.00 35.00  0.00 130.00  0.00 95.00  0.00 0.08040 
4  15.00  0.00 35.00  0.00 95.00  0.00 115.00  0.00 -0.04782 
4  15.00  0.00 35.00  0.00 115.00  0.00 135.00  0.00 -0.02499 
4  15.00  0.00 35.00  0.00 135.00  0.00 100.00  0.00 0.05650 
4  15.00  0.00 35.00  0.00 100.00  0.00 120.00  0.00 -0.03805 
