Elektrode nr ,X,Y,Z
0.0,613003.8,6651367.0,125.68552
1.0,613004.9285714286,6651367.357142857,125.684975
2.0,613006.0571428571,6651367.714285715,125.74312
3.0,613007.1857142857,6651368.071428572,125.79764
4.0,613008.3142857143,6651368.428571428,125.943535
5.0,613009.4428571429,6651368.785714285,125.99657
6.0,613010.5714285714,6651369.142857143,126.08398
7.0,613011.7,6651369.5,126.18864
8.0,613012.5809523809,6651369.957142857,126.27682
9.0,613013.4619047618,6651370.414285715,126.32574
10.0,613014.3428571428,6651370.871428572,126.39929
11.0,613015.2238095237,6651371.328571429,126.439445
12.0,613016.1047619047,6651371.785714285,126.478096
13.0,613016.9857142856,6651372.242857143,126.512695
14.0,613017.8666666666,6651372.7,126.53441
15.0,613018.7476190475,6651373.157142857,126.53441
16.0,613019.6285714285,6651373.614285714,126.56191
17.0,613020.5095238094,6651374.071428572,126.57934
18.0,613021.3904761905,6651374.528571429,126.593605
19.0,613022.2714285714,6651374.985714286,126.619415
20.0,613023.1523809524,6651375.442857143,126.6501
21.0,613024.0333333333,6651375.9,126.683685
22.0,613024.9142857143,6651376.357142857,126.687294
23.0,613025.7952380952,6651376.814285714,126.68708
24.0,613026.6761904762,6651377.271428571,126.682755
25.0,613027.5571428571,6651377.728571429,126.70596
26.0,613028.4380952381,6651378.185714286,126.71862
27.0,613029.319047619,6651378.642857143,126.69775
28.0,613030.2,6651379.1,126.71795
29.0,613031.0809523809,6651379.557142857,126.73231
30.0,613031.9619047618,6651380.014285714,126.76041
31.0,613032.8428571428,6651380.471428571,126.77714
32.0,613033.7238095237,6651380.928571429,126.79802
33.0,613034.6047619047,6651381.385714286,126.81091
34.0,613035.4857142856,6651381.842857143,126.84684
35.0,613036.3666666666,6651382.3,126.87602
36.0,613037.2476190475,6651382.757142858,126.92039
37.0,613038.1285714285,6651383.214285715,126.96413
38.0,613039.0095238094,6651383.671428571,127.00004
39.0,613039.8904761905,6651384.128571428,127.03985
40.0,613040.7714285714,6651384.585714286,127.03985
41.0,613041.6523809524,6651385.042857143,127.05656
42.0,613042.5333333333,6651385.5,127.083916
43.0,613043.4142857143,6651385.957142857,127.088615
44.0,613044.2952380952,6651386.414285715,127.1429
45.0,613045.1761904762,6651386.871428572,127.17967
46.0,613046.0571428571,6651387.328571429,127.180534
47.0,613046.9380952381,6651387.785714285,127.24281
48.0,613047.819047619,6651388.242857143,127.30275
49.0,613048.7,6651388.7,127.32242
50.0,613049.5599999999,6651389.21,127.403175
51.0,613050.4199999999,6651389.72,127.41361
52.0,613051.28,6651390.23,127.41361
53.0,613052.14,6651390.74,127.466515
54.0,613053.0,6651391.25,127.56868
55.0,613053.86,6651391.76,127.67129
56.0,613054.72,6651392.27,127.693504
57.0,613055.5800000001,6651392.78,127.77408
58.0,613056.4400000001,6651393.29,127.79166
59.0,613057.3,6651393.8,127.870224
60.0,613058.1638888889,6651394.272222222,127.85698
61.0,613059.0277777779,6651394.744444444,127.92665
62.0,613059.8916666667,6651395.216666667,127.92665
63.0,613060.7555555556,6651395.688888889,127.92139
64.0,613061.6194444445,6651396.161111111,127.95932
65.0,613062.4833333334,6651396.633333333,127.964195
66.0,613063.3472222222,6651397.105555556,128.02602
67.0,613064.2111111111,6651397.577777778,128.07974
68.0,613065.0750000001,6651398.05,128.02408
69.0,613065.9388888889,6651398.522222222,128.07413
70.0,613066.8027777778,6651398.994444444,128.12369
71.0,613067.6666666667,6651399.466666667,128.06339
72.0,613068.5305555556,6651399.938888889,128.06339
73.0,613069.3944444444,6651400.411111111,127.999405
74.0,613070.2583333334,6651400.883333333,128.03828
75.0,613071.1222222223,6651401.355555556,128.07462
76.0,613071.9861111111,6651401.827777778,128.03131
77.0,613072.8500000001,6651402.3,128.07263
78.0,613073.713888889,6651402.772222222,128.06538
79.0,613074.5777777778,6651403.244444444,128.10928
80.0,613075.4416666667,6651403.716666667,128.13773
81.0,613076.3055555556,6651404.188888889,128.12782
82.0,613077.1694444445,6651404.661111111,128.16293
83.0,613078.0333333333,6651405.133333333,128.10701
84.0,613078.8972222223,6651405.605555556,128.14546
85.0,613079.7611111111,6651406.077777778,128.19592
86.0,613080.625,6651406.55,128.1744
87.0,613081.488888889,6651407.022222222,128.2129
88.0,613082.3527777778,6651407.494444444,128.19662
89.0,613083.2166666667,6651407.966666667,128.24142
90.0,613084.0805555555,6651408.438888889,128.28302
91.0,613084.9444444445,6651408.911111111,128.24443
92.0,613085.8083333333,6651409.383333333,128.2902
93.0,613086.6722222222,6651409.855555556,128.2902
94.0,613087.5361111112,6651410.327777778,128.24902
95.0,613088.4,6651410.8,128.28262
