Elektrode nr ,X,Y,Z
0.0,612984.7,6651294.1,126.80704
1.0,612984.7428571428,6651295.157142857,126.83821
2.0,612984.7857142857,6651296.214285714,126.81146
3.0,612984.8285714285,6651297.271428571,126.78759
4.0,612984.8714285714,6651298.328571429,126.77904
5.0,612984.9142857143,6651299.385714286,126.76671
6.0,612984.9571428571,6651300.442857143,126.726295
7.0,612985.0,6651301.5,126.72194
8.0,612985.0428571429,6651302.557142857,126.70839
9.0,612985.0857142857,6651303.614285714,126.80834
10.0,612985.1285714286,6651304.671428571,126.793434
11.0,612985.1714285715,6651305.728571429,126.75205
12.0,612985.2142857143,6651306.785714286,126.74344
13.0,612985.2571428572,6651307.842857143,126.7561
14.0,612985.3,6651308.9,126.79349
15.0,612985.3,6651309.870588236,126.80675
16.0,612985.3,6651310.841176471,126.79478
17.0,612985.3,6651311.811764706,126.91387
18.0,612985.3,6651312.782352941,126.915375
19.0,612985.3,6651313.752941177,126.96699
20.0,612985.3,6651314.723529412,127.055954
21.0,612985.3,6651315.694117648,127.08086
22.0,612985.3,6651316.664705883,127.03682
23.0,612985.3,6651317.635294118,127.08943
24.0,612985.3,6651318.605882353,127.182274
25.0,612985.3,6651319.576470588,127.238045
26.0,612985.3,6651320.5470588235,127.264305
27.0,612985.3,6651321.51764706,127.28034
28.0,612985.3,6651322.488235295,127.34416
29.0,612985.3,6651323.45882353,127.32876
30.0,612985.3,6651324.429411765,127.32392
31.0,612985.3,6651325.4,127.31704
32.0,612985.3307692308,6651326.469230769,127.29358
33.0,612985.3615384615,6651327.538461539,127.294365
34.0,612985.3923076923,6651328.607692308,127.26462
35.0,612985.4230769231,6651329.676923078,127.197136
36.0,612985.4538461538,6651330.746153846,127.07419
37.0,612985.4846153846,6651331.815384615,127.09856
38.0,612985.5153846154,6651332.884615385,126.8832
39.0,612985.5461538462,6651333.953846154,126.6726
40.0,612985.5769230769,6651335.023076923,126.489
41.0,612985.6076923077,6651336.092307692,126.37451
42.0,612985.6384615385,6651337.161538461,126.34141
43.0,612985.6692307692,6651338.230769231,126.329094
44.0,612985.7,6651339.3,126.28932
45.0,612985.7214285714,6651340.257142857,126.273964
46.0,612985.7428571428,6651341.214285715,126.17753
47.0,612985.7642857142,6651342.171428571,126.072754
48.0,612985.7857142857,6651343.128571428,125.9617
49.0,612985.8071428571,6651344.085714285,125.84269
50.0,612985.8285714285,6651345.042857143,125.744965
51.0,612985.85,6651346.0,125.660484
52.0,612985.8714285714,6651346.957142857,125.564804
53.0,612985.8928571428,6651347.914285715,125.52536
54.0,612985.9142857143,6651348.871428572,125.562706
55.0,612985.9357142857,6651349.828571429,125.57975
56.0,612985.9571428571,6651350.785714285,125.569084
57.0,612985.9785714286,6651351.742857143,125.55645
58.0,612986.0,6651352.7,125.54087
59.0,612986.0375,6651353.525,125.54087
60.0,612986.075,6651354.35,125.516174
61.0,612986.1125,6651355.175,125.49551
62.0,612986.15,6651356.0,125.46556
63.0,612986.1875,6651356.825,125.485245
64.0,612986.2250000001,6651357.65,125.46417
65.0,612986.2625000001,6651358.475,125.46417
66.0,612986.3,6651359.3,125.40939
67.0,612986.3260869565,6651360.3782608695,125.3744
68.0,612986.352173913,6651361.456521739,125.326416
69.0,612986.3782608696,6651362.534782608,125.30389
70.0,612986.4043478261,6651363.613043478,125.218025
71.0,612986.4304347826,6651364.6913043475,125.21106
72.0,612986.4565217391,6651365.769565217,125.184685
73.0,612986.4826086957,6651366.847826087,125.134254
74.0,612986.5086956522,6651367.926086957,125.08612
75.0,612986.5347826087,6651369.004347825,125.042465
76.0,612986.5608695652,6651370.082608695,125.002396
77.0,612986.5869565217,6651371.160869565,124.970505
78.0,612986.6130434783,6651372.239130435,124.92882
79.0,612986.6391304348,6651373.317391304,124.890076
80.0,612986.6652173913,6651374.395652174,124.88119
81.0,612986.6913043478,6651375.473913043,124.85898
82.0,612986.7173913043,6651376.5521739125,124.8332
83.0,612986.7434782609,6651377.630434782,124.81083
84.0,612986.7695652174,6651378.708695652,124.75036
85.0,612986.7956521739,6651379.786956522,124.70779
86.0,612986.8217391304,6651380.865217391,124.67559
87.0,612986.847826087,6651381.94347826,124.6577
88.0,612986.8739130435,6651383.02173913,124.66853
89.0,612986.9,6651384.1,124.668335
90.0,612986.9666666667,6651385.0,124.66068
91.0,612987.0333333333,6651385.899999999,124.62396
92.0,612987.1000000001,6651386.8,124.690216
93.0,612987.1666666667,6651387.7,124.690216
94.0,612987.2333333334,6651388.6,124.873566
95.0,612987.3,6651389.5,124.86417
