Elektrode nr ,X,Y,Z
0.0,613062.5,6651222.5,131.4339
1.0,613063.4063157894,6651222.075789474,131.5526
2.0,613064.312631579,6651221.651578947,131.54169
3.0,613065.2189473684,6651221.227368421,131.5732
4.0,613066.1252631579,6651220.803157895,131.68263
5.0,613067.0315789473,6651220.378947369,131.70795
6.0,613067.9378947369,6651219.954736842,131.77234
7.0,613068.8442105263,6651219.530526316,131.76094
8.0,613069.7505263158,6651219.10631579,131.83466
9.0,613070.6568421052,6651218.682105263,131.89368
10.0,613071.5631578948,6651218.257894737,131.93591
11.0,613072.4694736842,6651217.833684211,131.91931
12.0,613073.3757894736,6651217.409473685,131.95128
13.0,613074.2821052632,6651216.985263158,131.99965
14.0,613075.1884210526,6651216.561052632,132.07217
15.0,613076.0947368421,6651216.136842106,132.04224
16.0,613077.0010526315,6651215.712631579,132.09747
17.0,613077.9073684211,6651215.2884210525,132.16554
18.0,613078.8136842105,6651214.864210526,132.26189
19.0,613079.72,6651214.44,132.33008
20.0,613080.6263157894,6651214.015789473,132.26369
21.0,613081.532631579,6651213.591578947,132.32132
22.0,613082.4389473684,6651213.167368421,132.32132
23.0,613083.3452631579,6651212.743157894,132.38623
24.0,613084.2515789474,6651212.318947368,132.36507
25.0,613085.1578947369,6651211.894736842,132.44302
26.0,613086.0642105263,6651211.470526316,132.41013
27.0,613086.9705263157,6651211.046315789,132.49257
28.0,613087.8768421053,6651210.622105263,132.49358
29.0,613088.7831578947,6651210.197894737,132.59789
30.0,613089.6894736842,6651209.77368421,132.57437
31.0,613090.5957894736,6651209.349473684,132.67392
32.0,613091.5021052632,6651208.925263158,132.66841
33.0,613092.4084210526,6651208.501052632,132.7595
34.0,613093.3147368421,6651208.076842105,132.73483
35.0,613094.2210526316,6651207.652631579,132.85318
36.0,613095.1273684211,6651207.228421053,132.84106
37.0,613096.0336842105,6651206.804210526,132.90887
38.0,613096.94,6651206.38,132.88512
39.0,613097.8463157895,6651205.955789474,132.9423
40.0,613098.752631579,6651205.531578948,132.92253
41.0,613099.6589473684,6651205.107368421,132.99614
42.0,613100.5652631578,6651204.683157895,132.9714
43.0,613101.4715789474,6651204.258947369,133.02725
44.0,613102.3778947368,6651203.834736842,133.02725
45.0,613103.2842105263,6651203.410526316,133.07521
46.0,613104.1905263158,6651202.98631579,133.06839
47.0,613105.0968421053,6651202.562105264,133.10481
48.0,613106.0031578947,6651202.137894737,133.0965
49.0,613106.9094736842,6651201.713684211,133.1336
50.0,613107.8157894737,6651201.2894736845,133.11903
51.0,613108.7221052632,6651200.865263158,133.16449
52.0,613109.6284210526,6651200.4410526315,133.17424
53.0,613110.5347368421,6651200.016842105,133.2315
54.0,613111.4410526316,6651199.592631579,133.23276
55.0,613112.347368421,6651199.168421052,133.26894
56.0,613113.2536842105,6651198.744210526,133.28171
57.0,613114.16,6651198.32,133.28415
58.0,613115.0663157895,6651197.895789474,133.3018
59.0,613115.9726315789,6651197.471578947,133.30292
60.0,613116.8789473684,6651197.047368421,133.32382
61.0,613117.7852631579,6651196.623157895,133.36642
62.0,613118.6915789474,6651196.198947368,133.39818
63.0,613119.5978947368,6651195.774736842,133.49007
64.0,613120.5042105264,6651195.350526316,133.51994
65.0,613121.4105263158,6651194.92631579,133.6018
66.0,613122.3168421052,6651194.502105263,133.6018
67.0,613123.2231578947,6651194.077894737,133.67447
68.0,613124.1294736842,6651193.653684211,133.70494
69.0,613125.0357894737,6651193.229473684,133.80911
70.0,613125.9421052631,6651192.805263158,133.84926
71.0,613126.8484210526,6651192.381052632,133.92384
72.0,613127.7547368421,6651191.956842106,133.94585
73.0,613128.6610526316,6651191.532631579,134.0233
74.0,613129.567368421,6651191.108421053,134.0233
75.0,613130.4736842106,6651190.684210527,134.1256
76.0,613131.38,6651190.26,134.12962
77.0,613132.2863157894,6651189.835789474,134.24458
78.0,613133.1926315789,6651189.411578948,134.23267
79.0,613134.0989473684,6651188.987368422,134.33612
80.0,613135.0052631579,6651188.563157895,134.32062
81.0,613135.9115789473,6651188.138947369,134.40584
82.0,613136.8178947368,6651187.714736843,134.38933
83.0,613137.7242105263,6651187.290526316,134.46759
84.0,613138.6305263158,6651186.8663157895,134.46358
85.0,613139.5368421052,6651186.4421052635,134.51132
86.0,613140.4431578948,6651186.017894737,134.50381
87.0,613141.3494736842,6651185.59368421,134.53868
88.0,613142.2557894737,6651185.169473684,134.53868
89.0,613143.1621052631,6651184.745263158,134.6006
90.0,613144.0684210527,6651184.321052631,134.62473
91.0,613144.9747368421,6651183.896842105,134.72739
92.0,613145.8810526315,6651183.472631579,134.72536
93.0,613146.787368421,6651183.048421053,134.8463
94.0,613147.6936842105,6651182.624210526,135.0002
95.0,613148.6,6651182.2,134.9826
