Elektrode nr ,X,Y,Z
1,613047.4,6651240.3,130.463
2,613049.8,6651240.6,130.678
3,613040.7545454546,6651246.654545454,130.73227272727271
4,613031.7090909091,6651252.709090909,130.78654545454546
5,613022.6636363637,6651258.763636364,130.84081818181818
6,613013.6181818183,6651264.818181818,130.8950909090909
7,613004.5727272728,6651270.872727273,130.94936363636364
8,612995.5272727273,6651276.927272727,131.00363636363636
9,612986.4818181818,6651282.981818181,131.0579090909091
10,612977.4363636364,6651289.036363636,131.11218181818182
11,612968.390909091,6651295.090909091,131.16645454545454
12,612959.3454545455,6651301.1454545455,131.2207272727273
13,612950.3,6651307.2,131.275
14,612977.5,6651300.314285714,131.37300000000002
15,613004.7000000001,6651293.428571429,131.471
16,613031.9,6651286.542857143,131.56900000000002
17,613059.1,6651279.657142857,131.667
18,613086.2999999999,6651272.771428571,131.76500000000001
19,613113.5,6651265.885714286,131.863
20,613140.7,6651259.0,131.961
21,613131.0,6651242.7,132.1345
22,613121.3,6651226.4,132.308
23,613133.175,6651235.675000001,132.5525
24,613145.05,6651244.95,132.797
25,613156.925,6651254.225,133.04149999999998
26,613168.8,6651263.5,133.286
27,613176.65,6651265.95,133.8835
28,613184.5,6651268.4,134.481
29,613187.875,6651269.350000001,134.18975
30,613191.25,6651270.300000001,133.8985
31,613194.625,6651271.25,133.60725
32,613198.0,6651272.2,133.316
33,613202.72,6651273.5200000005,133.35920000000002
34,613207.44,6651274.84,133.4024
35,613212.16,6651276.16,133.4456
36,613216.88,6651277.4799999995,133.4888
37,613221.6,6651278.8,133.532
38,613226.6727272727,6651279.7727272725,133.68445454545454
39,613231.7454545455,6651280.745454545,133.8369090909091
40,613236.8181818181,6651281.718181818,133.98936363636363
41,613241.8909090909,6651282.69090909,134.1418181818182
42,613246.9636363636,6651283.663636363,134.29427272727273
43,613252.0363636364,6651284.636363637,134.4467272727273
44,613257.1090909091,6651285.609090909,134.59918181818182
45,613262.1818181819,6651286.581818182,134.75163636363638
46,613267.2545454545,6651287.554545455,134.9040909090909
47,613272.3272727273,6651288.527272727,135.05654545454547
48,613277.4,6651289.5,135.209
