Roudabout_allinone_22_06_2023.bin
         1.00
11
0
Type of measurement (0=app. resistivity,1=resistance)
1
3408
 2
0
4  2.00  0.00 3.00  0.00 11.00  0.00 12.00  0.00 -0.01867 
4  2.00  0.00 3.00  0.00 4.00  0.00 5.00  0.00 -3.31275 
4  2.00  0.00 3.00  0.00 5.00  0.00 6.00  0.00 -0.49138 
4  2.00  0.00 3.00  0.00 6.00  0.00 7.00  0.00 -0.19849 
4  2.00  0.00 3.00  0.00 7.00  0.00 8.00  0.00 -0.11378 
4  2.00  0.00 3.00  0.00 8.00  0.00 9.00  0.00 -0.04620 
4  2.00  0.00 3.00  0.00 9.00  0.00 10.00  0.00 -0.03049 
4  2.00  0.00 3.00  0.00 10.00  0.00 11.00  0.00 -0.02436 
4  2.00  0.00 4.00  0.00 8.00  0.00 10.00  0.00 -0.24336 
4  2.00  0.00 4.00  0.00 10.00  0.00 12.00  0.00 -0.12206 
4  2.00  0.00 4.00  0.00 12.00  0.00 14.00  0.00 -0.06272 
4  2.00  0.00 4.00  0.00 14.00  0.00 16.00  0.00 -0.02967 
4  2.00  0.00 4.00  0.00 16.00  0.00 9.00  0.00 0.30951 
4  2.00  0.00 4.00  0.00 9.00  0.00 11.00  0.00 -0.16452 
4  2.00  0.00 4.00  0.00 11.00  0.00 13.00  0.00 -0.08971 
4  2.00  0.00 4.00  0.00 13.00  0.00 15.00  0.00 -0.04384 
4  2.00  0.00 4.00  0.00 15.00  0.00 17.00  0.00 -0.02697 
4  2.00  0.00 5.00  0.00 12.00  0.00 15.00  0.00 -0.15257 
4  2.00  0.00 5.00  0.00 15.00  0.00 18.00  0.00 -0.07284 
4  2.00  0.00 5.00  0.00 18.00  0.00 21.00  0.00 -0.03747 
4  2.00  0.00 5.00  0.00 21.00  0.00 13.00  0.00 0.19073 
4  2.00  0.00 5.00  0.00 13.00  0.00 16.00  0.00 -0.10058 
4  2.00  0.00 5.00  0.00 16.00  0.00 19.00  0.00 -0.06901 
4  2.00  0.00 5.00  0.00 19.00  0.00 22.00  0.00 -0.01561 
4  2.00  0.00 5.00  0.00 22.00  0.00 14.00  0.00 0.14084 
4  2.00  0.00 5.00  0.00 14.00  0.00 17.00  0.00 -0.08463 
4  2.00  0.00 5.00  0.00 17.00  0.00 20.00  0.00 -0.05448 
