Roudabout20_06_2023_modifiedspacing2.5.bin
         2.50
11
0
Type of measurement (0=app. resistivity,1=resistance)
1
3408
 2
0
4  5.00  0.00 7.50  0.00 27.50  0.00 30.00  0.00 -0.03025 
4  5.00  0.00 7.50  0.00 10.00  0.00 12.50  0.00 -2.48093 
4  5.00  0.00 7.50  0.00 12.50  0.00 15.00  0.00 -0.49722 
4  5.00  0.00 7.50  0.00 15.00  0.00 17.50  0.00 -0.24289 
4  5.00  0.00 7.50  0.00 17.50  0.00 20.00  0.00 -0.12003 
4  5.00  0.00 7.50  0.00 20.00  0.00 22.50  0.00 -0.07894 
4  5.00  0.00 7.50  0.00 22.50  0.00 25.00  0.00 -0.05810 
4  5.00  0.00 7.50  0.00 25.00  0.00 27.50  0.00 -0.04112 
4  5.00  0.00 10.00  0.00 20.00  0.00 25.00  0.00 -0.31158 
4  5.00  0.00 10.00  0.00 25.00  0.00 30.00  0.00 -0.15103 
4  5.00  0.00 10.00  0.00 30.00  0.00 35.00  0.00 -0.06843 
4  5.00  0.00 10.00  0.00 35.00  0.00 40.00  0.00 -0.02990 
4  5.00  0.00 10.00  0.00 40.00  0.00 22.50  0.00 0.37653 
4  5.00  0.00 10.00  0.00 22.50  0.00 27.50  0.00 -0.21333 
4  5.00  0.00 10.00  0.00 27.50  0.00 32.50  0.00 -0.10696 
4  5.00  0.00 10.00  0.00 32.50  0.00 37.50  0.00 -0.04004 
4  5.00  0.00 10.00  0.00 37.50  0.00 42.50  0.00 -0.02432 
4  5.00  0.00 12.50  0.00 30.00  0.00 37.50  0.00 -0.15312 
4  5.00  0.00 12.50  0.00 37.50  0.00 45.00  0.00 -0.05311 
4  5.00  0.00 12.50  0.00 45.00  0.00 52.50  0.00 -0.03272 
4  5.00  0.00 12.50  0.00 52.50  0.00 32.50  0.00 0.16045 
4  5.00  0.00 12.50  0.00 32.50  0.00 40.00  0.00 -0.09775 
4  5.00  0.00 12.50  0.00 40.00  0.00 47.50  0.00 -0.04233 
4  5.00  0.00 12.50  0.00 47.50  0.00 55.00  0.00 -0.02656 
4  5.00  0.00 12.50  0.00 55.00  0.00 35.00  0.00 0.12355 
4  5.00  0.00 12.50  0.00 35.00  0.00 42.50  0.00 -0.07119 
4  5.00  0.00 12.50  0.00 42.50  0.00 50.00  0.00 -0.03542 
4  5.00  0.00 15.00  0.00 40.00  0.00 50.00  0.00 -0.07842 
4  5.00  0.00 15.00  0.00 50.00  0.00 60.00  0.00 -0.04201 
4  5.00  0.00 15.00  0.00 60.00  0.00 42.50  0.00 0.09556 
4  5.00  0.00 15.00  0.00 42.50  0.00 52.50  0.00 -0.06616 
4  5.00  0.00 15.00  0.00 52.50  0.00 62.50  0.00 -0.03866 
4  5.00  0.00 15.00  0.00 62.50  0.00 45.00  0.00 0.08587 
4  5.00  0.00 15.00  0.00 45.00  0.00 55.00  0.00 -0.05727 
4  5.00  0.00 15.00  0.00 55.00  0.00 65.00  0.00 -0.03569 
4  5.00  0.00 15.00  0.00 65.00  0.00 47.50  0.00 0.07509 
4  5.00  0.00 15.00  0.00 47.50  0.00 57.50  0.00 -0.04947 
4  5.00  0.00 15.00  0.00 57.50  0.00 67.50  0.00 -0.03291 
4  7.50  0.00 10.00  0.00 30.00  0.00 32.50  0.00 -0.02237 
4  7.50  0.00 10.00  0.00 12.50  0.00 15.00  0.00 -1.67821 
4  7.50  0.00 10.00  0.00 15.00  0.00 17.50  0.00 -0.48552 
4  7.50  0.00 10.00  0.00 17.50  0.00 20.00  0.00 -0.18160 
4  7.50  0.00 10.00  0.00 20.00  0.00 22.50  0.00 -0.10543 
4  7.50  0.00 10.00  0.00 22.50  0.00 25.00  0.00 -0.06654 
4  7.50  0.00 10.00  0.00 25.00  0.00 27.50  0.00 -0.04736 
4  7.50  0.00 10.00  0.00 27.50  0.00 30.00  0.00 -0.02989 
4  7.50  0.00 12.50  0.00 22.50  0.00 27.50  0.00 -0.32830 
4  7.50  0.00 12.50  0.00 27.50  0.00 32.50  0.00 -0.14207 
4  7.50  0.00 12.50  0.00 32.50  0.00 37.50  0.00 -0.05135 
4  7.50  0.00 12.50  0.00 37.50  0.00 42.50  0.00 -0.02832 
4  7.50  0.00 12.50  0.00 42.50  0.00 25.00  0.00 0.35273 
4  7.50  0.00 12.50  0.00 25.00  0.00 30.00  0.00 -0.21330 
4  7.50  0.00 12.50  0.00 30.00  0.00 35.00  0.00 -0.09031 
4  7.50  0.00 12.50  0.00 35.00  0.00 40.00  0.00 -0.03807 
4  7.50  0.00 12.50  0.00 40.00  0.00 45.00  0.00 -0.01815 
4  7.50  0.00 15.00  0.00 32.50  0.00 40.00  0.00 -0.12065 
4  7.50  0.00 15.00  0.00 40.00  0.00 47.50  0.00 -0.04767 
4  7.50  0.00 15.00  0.00 47.50  0.00 55.00  0.00 -0.03050 
4  7.50  0.00 15.00  0.00 55.00  0.00 35.00  0.00 0.14471 
4  7.50  0.00 15.00  0.00 35.00  0.00 42.50  0.00 -0.08332 
4  7.50  0.00 15.00  0.00 42.50  0.00 50.00  0.00 -0.04294 
4  7.50  0.00 15.00  0.00 50.00  0.00 57.50  0.00 -0.03050 
4  7.50  0.00 15.00  0.00 57.50  0.00 37.50  0.00 0.12070 
4  7.50  0.00 15.00  0.00 37.50  0.00 45.00  0.00 -0.06356 
4  7.50  0.00 15.00  0.00 45.00  0.00 52.50  0.00 -0.03567 
4  7.50  0.00 17.50  0.00 42.50  0.00 52.50  0.00 -0.08075 
4  7.50  0.00 17.50  0.00 52.50  0.00 62.50  0.00 -0.04474 
4  7.50  0.00 17.50  0.00 62.50  0.00 45.00  0.00 0.10257 
4  7.50  0.00 17.50  0.00 45.00  0.00 55.00  0.00 -0.06928 
4  7.50  0.00 17.50  0.00 55.00  0.00 65.00  0.00 -0.04118 
4  7.50  0.00 17.50  0.00 65.00  0.00 47.50  0.00 0.08829 
4  7.50  0.00 17.50  0.00 47.50  0.00 57.50  0.00 -0.06297 
4  7.50  0.00 17.50  0.00 57.50  0.00 67.50  0.00 -0.03366 
4  7.50  0.00 17.50  0.00 67.50  0.00 50.00  0.00 0.07761 
4  7.50  0.00 17.50  0.00 50.00  0.00 60.00  0.00 -0.05071 
4  7.50  0.00 17.50  0.00 60.00  0.00 70.00  0.00 -0.03459 
4  10.00  0.00 12.50  0.00 32.50  0.00 35.00  0.00 -0.01898 
4  10.00  0.00 12.50  0.00 15.00  0.00 17.50  0.00 -2.73000 
4  10.00  0.00 12.50  0.00 17.50  0.00 20.00  0.00 -0.58439 
4  10.00  0.00 12.50  0.00 20.00  0.00 22.50  0.00 -0.25003 
4  10.00  0.00 12.50  0.00 22.50  0.00 25.00  0.00 -0.13294 
4  10.00  0.00 12.50  0.00 25.00  0.00 27.50  0.00 -0.08280 
4  10.00  0.00 12.50  0.00 27.50  0.00 30.00  0.00 -0.05214 
4  10.00  0.00 12.50  0.00 30.00  0.00 32.50  0.00 -0.03623 
4  10.00  0.00 15.00  0.00 25.00  0.00 30.00  0.00 -0.32560 
4  10.00  0.00 15.00  0.00 30.00  0.00 35.00  0.00 -0.12248 
4  10.00  0.00 15.00  0.00 35.00  0.00 40.00  0.00 -0.04946 
4  10.00  0.00 15.00  0.00 40.00  0.00 45.00  0.00 -0.02511 
4  10.00  0.00 15.00  0.00 45.00  0.00 27.50  0.00 0.32376 
